"annio","nombre","categoria","edad","genero"
1975,"Leonid Vitaliyevich Kantorovich","economics",63,"male"
1975,"Tjalling C. Koopmans","economics",65,"male"
1979,"Sheldon Lee Glashow","physics",47,"male"
1979,"Steven Weinberg","physics",46,"male"
1979,"Abdus Salam","physics",53,"male"
1984,"Carlo Rubbia","physics",50,"male"
1984,"Simon van der Meer","physics",59,"male"
1986,"Heinrich Rohrer","physics",53,"male"
1986,"Gerd Binnig","physics",39,"male"
1987,"Donald J. Cram","chemistry",68,"male"
1987,"Jean-Marie Lehn","chemistry",48,"male"
1987,"Charles J. Pedersen","chemistry",83,"male"
1952,"Edward Mills Purcell","physics",40,"male"
1952,"Felix Bloch","physics",47,"male"
2002,"Koichi Tanaka","chemistry",43,"male"
2002,"John B. Fenn","chemistry",85,"male"
1979,"Georg Wittig","chemistry",82,"male"
1979,"Herbert C. Brown","chemistry",67,"male"
2015,"William C. Campbell","medicine",85,"male"
2015,"Satoshi &#332;mura","medicine",80,"male"
1965,"Andr_ Lwoff","medicine",63,"male"
1965,"Jacques Monod","medicine",55,"male"
1965,"Fran<U+008D>ois Jacob","medicine",45,"male"
2002,"Sydney Brenner","medicine",75,"male"
2002,"John E. Sulston","medicine",60,"male"
2002,"H. Robert Horvitz","medicine",55,"male"
1980,"George D. Snell","medicine",77,"male"
1980,"Baruj Benacerraf","medicine",60,"male"
1980,"Jean Dausset","medicine",64,"male"
1956,"Werner Forssmann","medicine",52,"male"
1956,"Andr_ Fr_d_ric Cournand","medicine",61,"male"
1956,"Dickinson W. Richards","medicine",61,"male"
1981,"Torsten N. Wiesel","medicine",57,"male"
1981,"David H. Hubel","medicine",55,"male"
1934,"William Parry Murphy","medicine",42,"male"
1934,"George Richards Minot","medicine",49,"male"
1934,"George Hoyt Whipple","medicine",56,"male"
2003,"Sir Peter Mansfield","medicine",70,"male"
2003,"Paul C. Lauterbur","medicine",74,"male"
1976,"D. Carleton Gajdusek","medicine",53,"male"
1976,"Baruch S. Blumberg","medicine",51,"male"
1998,"Robert F. Furchgott","medicine",82,"male"
1998,"Ferid Murad","medicine",62,"male"
1998,"Louis J. Ignarro","medicine",57,"male"
1963,"J. Hans D. Jensen","physics",56,"male"
1990,"Joseph E. Murray","medicine",71,"male"
1990,"E. Donnall Thomas","medicine",70,"male"
1973,"Konrad Lorenz","medicine",70,"male"
1973,"Karl von Frisch","medicine",87,"male"
1973,"Nikolaas Tinbergen","medicine",66,"male"
1982,"John R. Vane","medicine",55,"male"
1982,"Bengt I. Samuelsson","medicine",48,"male"
1982,"Sune K. Bergstr_m","medicine",66,"male"
1992,"Edwin G. Krebs","medicine",74,"male"
1992,"Edmond H. Fischer","medicine",72,"male"
2000,"Arvid Carlsson","medicine",77,"male"
2000,"Paul Greengard","medicine",75,"male"
2000,"Eric R. Kandel","medicine",71,"male"
2011,"Bruce A. Beutler","medicine",54,"male"
2011,"Jules A. Hoffmann","medicine",70,"male"
1972,"Gerald M. Edelman","medicine",43,"male"
1972,"Rodney R. Porter","medicine",55,"male"
1991,"Erwin Neher","medicine",47,"male"
1991,"Bert Sakmann","medicine",49,"male"
1995,"Edward B. Lewis","medicine",77,"male"
1995,"Eric F. Wieschaus","medicine",48,"male"
1970,"Julius Axelrod","medicine",58,"male"
1970,"Sir Bernard Katz","medicine",59,"male"
1970,"Ulf von Euler","medicine",65,"male"
1975,"David Baltimore","medicine",37,"male"
1975,"Renato Dulbecco","medicine",61,"male"
1975,"Howard Martin Temin","medicine",41,"male"
1963,"Alan Lloyd Hodgkin","medicine",49,"male"
1963,"Sir John Carew Eccles","medicine",60,"male"
1963,"Andrew Fielding Huxley","medicine",46,"male"
1964,"Konrad Bloch","medicine",52,"male"
1964,"Feodor Lynen","medicine",53,"male"
